N20140422Q38F150V1	14:20:23	-20:15:42	40	13.333	2014-04-23T14:51:10
N20140422Q38F151V1	14:27:13	-21:14:54	40	13.333	2014-04-23T14:52:20
N20140422Q38F152V1	14:27:10	-19:16:30	40	13.333	2014-04-23T14:53:30
N20140422Q38F149V2	14:20:26	-18:17:18	40	13.333	2014-04-23T14:54:40
N20140422Q38F150V2	14:20:23	-20:15:42	40	13.333	2014-04-23T14:55:50
N20140422Q38F151V2	14:27:13	-21:14:54	40	13.333	2014-04-23T14:57:00
N20140422Q38F152V2	14:27:10	-19:16:30	40	13.333	2014-04-23T14:58:10
N20140422Q38F149V3	14:20:26	-18:17:18	40	13.333	2014-04-23T14:59:20
N20140422Q38F150V3	14:20:23	-20:15:42	40	13.333	2014-04-23T15:00:30
N20140422Q38F151V3	14:27:13	-21:14:54	40	13.333	2014-04-23T15:01:40
N20140422Q38F152V3	14:27:10	-19:16:30	40	13.333	2014-04-23T15:02:50
N20140422Q38F149V4	14:20:26	-18:17:18	40	13.333	2014-04-23T15:04:00
N20140422Q38F150V4	14:20:23	-20:15:42	40	13.333	2014-04-23T15:05:10
N20140422Q38F151V4	14:27:13	-21:14:54	40	13.333	2014-04-23T15:06:20
N20140422Q38F152V4	14:27:10	-19:16:30	40	13.333	2014-04-23T15:07:30
N20140422Q38F149V5	14:20:26	-18:17:18	40	13.333	2014-04-23T15:08:40
N20140422Q38F150V5	14:20:23	-20:15:42	40	13.333	2014-04-23T15:09:50
N20140422Q38F151V5	14:27:13	-21:14:54	40	13.333	2014-04-23T15:11:00
N20140422Q38F152V5	14:27:10	-19:16:30	40	13.333	2014-04-23T15:12:10
SLEW_QX_QY	14:27:10	-19:16:30	60	13.333	2014-04-23T15:13:40
N20140422Q39F153V1	14:20:31	-21:58:30	40	13.333	2014-04-23T15:14:50
N20140422Q39F154V1	14:20:28	-23:56:54	40	13.333	2014-04-23T15:16:00
N20140422Q39F155V1	14:27:28	-24:54:06	40	13.333	2014-04-23T15:17:10
N20140422Q39F156V1	14:27:25	-22:57:42	40	13.333	2014-04-23T15:18:20
N20140422Q39F153V2	14:20:31	-21:58:30	40	13.333	2014-04-23T15:19:30
